file_id,rt,stimulus,key_press,trial_type,trial_index,time_elapsed,internal_node_id,word,color,response,stim_type,correct
data_2019-10-07-14-31-00_493km8qbhi,1471.5500000002066,Welcome to the experiment. Press any key to begin.,32,html-keyboard-response,0,1473,0.0-0.0,NA,NA,NA,NA,NA
data_2019-10-07-14-31-00_493km8qbhi,956.2750000004598,"<p>In this task, you will see word in a color</p><p style='color:red;font-size:60pt;'>BLUE</p><p>Press r, g, b, or y to identify the color, not the word</p><p>E.g., press r for red in this example</p><p>Press any key to begin.</p>",32,html-keyboard-response,1,2431,0.0-1.0,NA,NA,NA,NA,NA
data_2019-10-07-14-31-00_493km8qbhi,1068.6850000001868,<p id = 'stroop_stim' style = 'color: red; font-size: 60pt;'>yellow</p>,82,html-keyboard-response,2,4506,0.0-2.0-0.0,yellow,red,r,incongruent,TRUE
data_2019-10-07-14-31-00_493km8qbhi,472.8999999988446,<p id = 'stroop_stim' style = 'color: red; font-size: 60pt;'>green</p>,71,html-keyboard-response,3,5714,0.0-2.0-0.1,green,red,r,incongruent,FALSE
data_2019-10-07-14-31-00_493km8qbhi,273.56499999950756,<p id = 'stroop_stim' style = 'color: blue; font-size: 60pt;'>yellow</p>,71,html-keyboard-response,4,7836,0.0-2.0-0.2,yellow,blue,b,incongruent,FALSE
data_2019-10-07-14-31-00_493km8qbhi,289.1199999994569,<p id = 'stroop_stim' style = 'color: blue; font-size: 60pt;'>green</p>,89,html-keyboard-response,5,9860,0.0-2.0-0.3,green,blue,b,incongruent,FALSE
data_2019-10-07-14-31-00_493km8qbhi,280.2449999999226,<p id = 'stroop_stim' style = 'color: green; font-size: 60pt;'>yellow</p>,66,html-keyboard-response,6,11818,0.0-2.0-0.4,yellow,green,g,incongruent,FALSE
data_2019-10-07-14-31-00_493km8qbhi,864.980000000287,<p id = 'stroop_stim' style = 'color: red; font-size: 60pt;'>red</p>,89,html-keyboard-response,7,13440,0.0-2.0-0.5,red,red,r,congruent,FALSE
data_2019-10-07-14-31-00_493km8qbhi,340.1499999999942,<p id = 'stroop_stim' style = 'color: yellow; font-size: 60pt;'>red</p>,71,html-keyboard-response,8,15722,0.0-2.0-0.6,red,yellow,y,incongruent,FALSE
data_2019-10-07-14-31-00_493km8qbhi,348.5499999987951,<p id = 'stroop_stim' style = 'color: yellow; font-size: 60pt;'>green</p>,89,html-keyboard-response,9,17641,0.0-2.0-0.7,green,yellow,y,incongruent,TRUE
data_2019-10-07-14-31-00_493km8qbhi,994.45999999989,<p id = 'stroop_stim' style = 'color: yellow; font-size: 60pt;'>blue</p>,71,html-keyboard-response,10,20000,0.0-2.0-0.8,blue,yellow,y,incongruent,FALSE
data_2019-10-07-14-31-00_493km8qbhi,324.3399999992107,<p id = 'stroop_stim' style = 'color: blue; font-size: 60pt;'>red</p>,89,html-keyboard-response,11,21596,0.0-2.0-0.9,red,blue,b,incongruent,FALSE
data_2019-10-07-14-31-00_493km8qbhi,853.9400000008754,<p id = 'stroop_stim' style = 'color: green; font-size: 60pt;'>green</p>,89,html-keyboard-response,12,22989,0.0-2.0-0.10,green,green,g,congruent,FALSE
data_2019-10-07-14-31-00_493km8qbhi,976.5100000004168,<p id = 'stroop_stim' style = 'color: green; font-size: 60pt;'>red</p>,71,html-keyboard-response,13,25198,0.0-2.0-0.11,red,green,g,incongruent,TRUE
data_2019-10-07-14-31-00_493km8qbhi,759.8049999996874,<p id = 'stroop_stim' style = 'color: green; font-size: 60pt;'>blue</p>,71,html-keyboard-response,14,26972,0.0-2.0-0.12,blue,green,g,incongruent,TRUE
data_2019-10-07-14-31-00_493km8qbhi,null,<p id = 'stroop_stim' style = 'color: red; font-size: 60pt;'>blue</p>,null,html-keyboard-response,15,29529,0.0-2.0-0.13,blue,red,r,incongruent,FALSE
data_2019-10-07-14-31-00_493km8qbhi,321.41500000034284,<p id = 'stroop_stim' style = 'color: blue; font-size: 60pt;'>blue</p>,71,html-keyboard-response,16,30852,0.0-2.0-0.14,blue,blue,b,congruent,FALSE
data_2019-10-07-14-31-00_493km8qbhi,437.74500000108674,<p id = 'stroop_stim' style = 'color: yellow; font-size: 60pt;'>yellow</p>,71,html-keyboard-response,17,32528,0.0-2.0-0.15,yellow,yellow,y,congruent,FALSE
data_2019-10-07-14-31-00_493km8qbhi,16979.72999999911,<p>You responded correctly on <strong>25%</strong> of the trials.</p> <p>Your average response time for congruent trials was <strong>NaNms</strong>.</p><p>Your average response time for incongruent trials was <strong>788ms</strong>.</p><p>Press any key to complete the experiment. Thank you!</p>,32,html-keyboard-response,18,50260,0.0-3.0,NA,NA,NA,NA,NA
